id,country_region,date,total_cases,total_deaths,total_recovered
330,Austria,2021-11-30,1159995.0,13645.0,1146350.0
331,Austria,2021-12-31,1278619.0,15009.0,1263610.0
332,Austria,2022-01-31,1855578.0,15414.0,1840164.0
333,Austria,2022-02-28,2679742.0,16189.0,2663553.0
334,Austria,2022-03-31,3831048.0,17352.0,3813696.0
335,Austria,2022-04-30,4140543.0,18156.0,4122387.0
336,Austria,2022-05-14,4209157.0,18303.0,4190854.0
337,Azerbaijan,2020-02-29,3.0,0.0,3.0
338,Azerbaijan,2020-03-31,298.0,5.0,293.0
339,Azerbaijan,2020-04-30,1804.0,24.0,1780.0
340,Azerbaijan,2020-05-31,5494.0,63.0,5431.0
341,Azerbaijan,2020-06-30,17524.0,213.0,17311.0
342,Azerbaijan,2020-07-31,31878.0,448.0,31430.0
343,Azerbaijan,2020-08-31,36435.0,534.0,35901.0
344,Azerbaijan,2020-09-30,40229.0,591.0,39638.0
345,Azerbaijan,2020-10-31,55269.0,730.0,54539.0
346,Azerbaijan,2020-11-30,121176.0,1392.0,119784.0
347,Azerbaijan,2020-12-31,218700.0,2641.0,216059.0
348,Azerbaijan,2021-01-31,230219.0,3132.0,227087.0
349,Azerbaijan,2021-02-28,234537.0,3220.0,231317.0
350,Azerbaijan,2021-03-31,261713.0,3567.0,258146.0
351,Azerbaijan,2021-04-30,319109.0,4517.0,314592.0
352,Azerbaijan,2021-05-31,333956.0,4913.0,329043.0
353,Azerbaijan,2021-06-30,336047.0,4974.0,331073.0
354,Azerbaijan,2021-07-31,343849.0,5023.0,338826.0
355,Azerbaijan,2021-08-31,424891.0,5636.0,419255.0
356,Azerbaijan,2021-09-30,483902.0,6525.0,477377.0
357,Azerbaijan,2021-10-31,531370.0,7074.0,524296.0
358,Azerbaijan,2021-11-30,588318.0,7856.0,580462.0
359,Azerbaijan,2021-12-31,616947.0,8358.0,608589.0
360,Azerbaijan,2022-01-31,658470.0,8734.0,649736.0
361,Azerbaijan,2022-02-28,785670.0,9417.0,776253.0
362,Azerbaijan,2022-03-31,791932.0,9692.0,782240.0
363,Azerbaijan,2022-04-30,792562.0,9709.0,782853.0
364,Azerbaijan,2022-05-14,792638.0,9709.0,782929.0
365,Bahamas,2020-02-29,0.0,0.0,0.0
366,Bahamas,2020-03-31,14.0,0.0,14.0
367,Bahamas,2020-04-30,81.0,11.0,70.0
368,Bahamas,2020-05-31,102.0,11.0,91.0
369,Bahamas,2020-06-30,104.0,11.0,93.0
370,Bahamas,2020-07-31,574.0,14.0,560.0
371,Bahamas,2020-08-31,2217.0,50.0,2167.0
372,Bahamas,2020-09-30,4022.0,95.0,3927.0
373,Bahamas,2020-10-31,6714.0,144.0,6570.0
374,Bahamas,2020-11-30,7541.0,163.0,7378.0
375,Bahamas,2020-12-31,7871.0,170.0,7701.0
376,Bahamas,2021-01-31,8223.0,176.0,8047.0
377,Bahamas,2021-02-28,8551.0,180.0,8371.0
378,Bahamas,2021-03-31,9119.0,188.0,8931.0
379,Bahamas,2021-04-30,10453.0,200.0,10253.0
380,Bahamas,2021-05-31,11796.0,237.0,11559.0
381,Bahamas,2021-06-30,12586.0,254.0,12332.0
382,Bahamas,2021-07-31,14840.0,302.0,14538.0
383,Bahamas,2021-08-31,18335.0,406.0,17929.0
384,Bahamas,2021-09-30,20984.0,531.0,20453.0
385,Bahamas,2021-10-31,22407.0,643.0,21764.0
386,Bahamas,2021-11-30,22791.0,671.0,22120.0
387,Bahamas,2021-12-31,24476.0,717.0,23759.0
388,Bahamas,2022-01-31,32562.0,746.0,31816.0
389,Bahamas,2022-02-28,33135.0,771.0,32364.0
390,Bahamas,2022-03-31,33283.0,788.0,32495.0
391,Bahamas,2022-04-30,33558.0,798.0,32760.0
392,Bahamas,2022-05-14,33871.0,801.0,33070.0
393,Bahrain,2020-02-29,42.0,0.0,42.0
394,Bahrain,2020-03-31,569.0,4.0,565.0
395,Bahrain,2020-04-30,3060.0,8.0,3052.0
396,Bahrain,2020-05-31,11609.0,19.0,11590.0
397,Bahrain,2020-06-30,26758.0,87.0,26671.0
398,Bahrain,2020-07-31,40982.0,147.0,40835.0
399,Bahrain,2020-08-31,51972.0,190.0,51782.0
400,Bahrain,2020-09-30,70864.0,251.0,70613.0
401,Bahrain,2020-10-31,81645.0,321.0,81324.0
402,Bahrain,2020-11-30,86956.0,341.0,86615.0
403,Bahrain,2020-12-31,92675.0,352.0,92323.0
404,Bahrain,2021-01-31,103057.0,375.0,102682.0
405,Bahrain,2021-02-28,122394.0,449.0,121945.0
406,Bahrain,2021-03-31,144445.0,521.0,143924.0
407,Bahrain,2021-04-30,176934.0,646.0,176288.0
408,Bahrain,2021-05-31,240531.0,980.0,239551.0
409,Bahrain,2021-06-30,265827.0,1352.0,264475.0
410,Bahrain,2021-07-31,269186.0,1384.0,267802.0
411,Bahrain,2021-08-31,272540.0,1388.0,271152.0
412,Bahrain,2021-09-30,275057.0,1389.0,273668.0
413,Bahrain,2021-10-31,276829.0,1393.0,275436.0
414,Bahrain,2021-11-30,277690.0,1394.0,276296.0
415,Bahrain,2021-12-31,282062.0,1394.0,280668.0
416,Bahrain,2022-01-31,374575.0,1408.0,373167.0
417,Bahrain,2022-02-28,514883.0,1454.0,513429.0
418,Bahrain,2022-03-31,554469.0,1471.0,552998.0
419,Bahrain,2022-04-30,568706.0,1475.0,567231.0
420,Bahrain,2022-05-14,576997.0,1479.0,575518.0
421,Bangladesh,2020-02-29,0.0,0.0,0.0
422,Bangladesh,2020-03-31,51.0,5.0,46.0
423,Bangladesh,2020-04-30,7667.0,168.0,7499.0
424,Bangladesh,2020-05-31,47153.0,650.0,46503.0
425,Bangladesh,2020-06-30,145483.0,1847.0,143636.0
426,Bangladesh,2020-07-31,237661.0,3111.0,234550.0
427,Bangladesh,2020-08-31,312996.0,4281.0,308715.0
428,Bangladesh,2020-09-30,363479.0,5251.0,358228.0
429,Bangladesh,2020-10-31,407684.0,5923.0,401761.0
430,Bangladesh,2020-11-30,464932.0,6644.0,458288.0
431,Bangladesh,2020-12-31,513510.0,7559.0,505951.0
432,Bangladesh,2021-01-31,535139.0,8127.0,527012.0
433,Bangladesh,2021-02-28,546216.0,8408.0,537808.0
434,Bangladesh,2021-03-31,611295.0,9046.0,602249.0
435,Bangladesh,2021-04-30,759132.0,11450.0,747682.0
436,Bangladesh,2021-05-31,800540.0,12619.0,787921.0
437,Bangladesh,2021-06-30,913258.0,14503.0,898755.0
438,Bangladesh,2021-07-31,1249484.0,20685.0,1228799.0
439,Bangladesh,2021-08-31,1500618.0,26195.0,1474423.0
440,Bangladesh,2021-09-30,1555911.0,27510.0,1528401.0
441,Bangladesh,2021-10-31,1569539.0,27868.0,1541671.0
442,Bangladesh,2021-11-30,1576284.0,27981.0,1548303.0
443,Bangladesh,2021-12-31,1585539.0,28072.0,1557467.0
444,Bangladesh,2022-01-31,1798833.0,28394.0,1770439.0
445,Bangladesh,2022-02-28,1943577.0,29037.0,1914540.0
446,Bangladesh,2022-03-31,1951577.0,29122.0,1922455.0
447,Bangladesh,2022-04-30,1952691.0,29127.0,1923564.0
448,Bangladesh,2022-05-14,1952979.0,29127.0,1923852.0
449,Barbados,2020-02-29,0.0,0.0,0.0
450,Barbados,2020-03-31,34.0,0.0,34.0
451,Barbados,2020-04-30,81.0,7.0,74.0
452,Barbados,2020-05-31,92.0,7.0,85.0
453,Barbados,2020-06-30,97.0,7.0,90.0
454,Barbados,2020-07-31,110.0,7.0,103.0
455,Barbados,2020-08-31,174.0,7.0,167.0
456,Barbados,2020-09-30,190.0,7.0,183.0
457,Barbados,2020-10-31,236.0,7.0,229.0
458,Barbados,2020-11-30,276.0,7.0,269.0
459,Barbados,2020-12-31,383.0,7.0,376.0
460,Barbados,2021-01-31,1545.0,14.0,1531.0
461,Barbados,2021-02-28,3068.0,34.0,3034.0
462,Barbados,2021-03-31,3652.0,44.0,3608.0
463,Barbados,2021-04-30,3855.0,46.0,3809.0
464,Barbados,2021-05-31,4017.0,49.0,3968.0
465,Barbados,2021-06-30,4081.0,49.0,4032.0
466,Barbados,2021-07-31,4390.0,50.0,4340.0
467,Barbados,2021-08-31,5032.0,52.0,4980.0
468,Barbados,2021-09-30,8381.0,80.0,8301.0
469,Barbados,2021-10-31,17763.0,172.0,17591.0
470,Barbados,2021-11-30,25316.0,261.0,25055.0
471,Barbados,2021-12-31,28565.0,296.0,28269.0
472,Barbados,2022-01-31,44430.0,316.0,44114.0
473,Barbados,2022-02-28,55165.0,357.0,54808.0
474,Barbados,2022-03-31,59272.0,374.0,58898.0
475,Barbados,2022-04-30,70080.0,394.0,69686.0
476,Barbados,2022-05-14,76261.0,433.0,75828.0
477,Belarus,2020-02-29,1.0,0.0,1.0
478,Belarus,2020-03-31,152.0,1.0,151.0
479,Belarus,2020-04-30,14027.0,89.0,13938.0
